Radius,Length,Shield,ReflectionFT,TransmissionFT,ReflectionFF,TransmissionFF,ReflectionGT,TransmissionGT,ReflectionGF,TransmissionGF,ReflectionCT,TransmissionCT,ReflectionCF,TransmissionCF
31,429,39,0.172644,0.006987,0.132832,0.008931,0.233616,0.008904,0.05735,0.007999,0.224426,0.010295,0.058081,0.007977
47,302,58,0.176107,0.040766,0.171604,0.049839,0.282997,0.067263,0.081669,0.041843,0.243283,0.067819,0.078630,0.042290
35,486,61,0.173959,0.006938,0.213476,0.010838,0.345707,0.015128,0.131114,0.011238,0.241165,0.010734,0.089287,0.008618
42,73,69,0.157883,0.318188,0.185776,0.36147,0.268612,0.418795,0.102514,0.302081,0.205001,0.385766,0.076302,0.285479
8,18,39,0.136986,0.231127,0.074366,0.208797,0.14078,0.254881,0.029882,0.175028,0.142933,0.272886,0.029364,0.179265
37,79,65,0.163399,0.254697,0.191771,0.300287,0.284209,0.358431,0.107676,0.248244,0.214377,0.322754,0.078670,0.229407
22,60,48,0.162911,0.185677,0.160089,0.216459,0.259543,0.269087,0.08494,0.177235,0.207650,0.246050,0.067296,0.166646
4,64,28,0.122008,0.004942,0.055972,0.007682,0.112948,0.007373,0.023336,0.00747,0.116269,0.006690,0.022136,0.006355
37,139,46,0.172407,0.114863,0.145078,0.12078,0.246066,0.156703,0.064378,0.096487,0.226994,0.164810,0.064166,0.100503
15,337,46,0.162198,0.00228,0.147132,0.003211,0.262091,0.003342,0.084432,0.00317,0.205788,0.002978,0.061637,0.002727
15,117,44,0.162114,0.026305,0.145508,0.040029,0.258679,0.056062,0.081649,0.039196,0.205414,0.043604,0.061394,0.029961
4,460,24,0.12201,0.000077,0.055451,0.000087,0.112192,0.000076,0.022589,0.000085,0.116264,0.000077,0.021994,0.000086
13,196,27,0.159103,0.005712,0.117946,0.007709,0.217353,0.008024,0.053681,0.007123,0.196607,0.008278,0.052190,0.006822
7,484,10,0.137187,0.000227,0.046745,0.000237,0.100114,0.00023,0.016499,0.000221,0.117495,0.000230,0.015955,0.000233
38,451,48,0.174641,0.009973,0.156248,0.013028,0.264895,0.014598,0.071885,0.011546,0.236984,0.015938,0.070973,0.011611
6,129,30,0.137272,0.002473,0.077143,0.003507,0.151604,0.003225,0.034878,0.003392,0.145794,0.003185,0.031961,0.003033
43,47,52,0.135884,0.469207,0.110493,0.455722,0.175825,0.512294,0.048202,0.401746,0.163502,0.520548,0.046206,0.407401
46,243,70,0.175641,0.06145,0.22695,0.090255,0.353563,0.131262,0.137019,0.081326,0.246418,0.099665,0.095442,0.065395
